input,output
Get all users who signed up today,SELECT * FROM users WHERE signup_date = CURRENT_DATE;
Find products with price greater than 100,SELECT * FROM products WHERE price > 100;
Count number of orders placed by each user,"SELECT user_id, COUNT(*) FROM orders GROUP BY user_id;"
Get the names of all users,SELECT name FROM users;
List all products that are out of stock,SELECT * FROM products WHERE stock = 0;
Show all orders placed on 2024-07-22,SELECT * FROM orders WHERE order_date = '2024-07-22';
Get emails of users who signed up after 2024-01-01,SELECT email FROM users WHERE signup_date > '2024-01-01';
List product names and prices,"SELECT name, price FROM products;"
Find total number of users,SELECT COUNT(*) FROM users;
Show all users who have placed more than 5 orders,SELECT user_id FROM orders GROUP BY user_id HAVING COUNT(*) > 5;
Get the highest priced product,SELECT * FROM products ORDER BY price DESC LIMIT 1;
List all products cheaper than 500,SELECT * FROM products WHERE price < 500;
Find average order amount,SELECT AVG(amount) FROM orders;
Show order details and user name,"SELECT o.order_id, o.amount, u.name FROM orders o JOIN users u ON o.user_id = u.id;"
How many products are there in total?,SELECT COUNT(*) FROM products;
Find users who haven't placed any orders,SELECT * FROM users WHERE id NOT IN (SELECT user_id FROM orders);
Get the total sales amount,SELECT SUM(amount) FROM orders;
Show all orders made in July 2024,SELECT * FROM orders WHERE MONTH(order_date) = 7 AND YEAR(order_date) = 2024;
Get products with stock more than 50,SELECT * FROM products WHERE stock > 50;
List all users along with number of orders they placed,"SELECT u.name, COUNT(o.order_id) FROM users u LEFT JOIN orders o ON u.id = o.user_id GROUP BY u.name;"
Show all products with stock less than 20,SELECT * FROM products WHERE stock < 20;
List users who signed up before 2023-01-01,SELECT * FROM users WHERE signup_date < '2023-01-01';
Find users with email ending in '@gmail.com',SELECT * FROM users WHERE email LIKE '%@gmail.com';
Get names of products that cost exactly 500,SELECT name FROM products WHERE price = 500;
Show orders with amount greater than 1000,SELECT * FROM orders WHERE amount > 1000;
List the order IDs made by user with ID 2,SELECT order_id FROM orders WHERE user_id = 2;
Find total revenue from all orders,SELECT SUM(amount) FROM orders;
Show products sorted by price descending,SELECT * FROM products ORDER BY price DESC;
List the top 5 most expensive products,SELECT * FROM products ORDER BY price DESC LIMIT 5;
Get user IDs who made orders in 2024,SELECT DISTINCT user_id FROM orders WHERE YEAR(order_date) = 2024;
Find users who haven't made any orders,SELECT * FROM users WHERE id NOT IN (SELECT user_id FROM orders);
List products priced between 100 and 300,SELECT * FROM products WHERE price BETWEEN 100 AND 300;
Count how many products are in stock,SELECT COUNT(*) FROM products WHERE stock > 0;
Get names of users and their total spending,"SELECT u.name, SUM(o.amount) FROM users u JOIN orders o ON u.id = o.user_id GROUP BY u.name;"
Show order dates and total amounts,"SELECT order_date, total_amount FROM orders;"
List product names and available stock,"SELECT name, stock FROM products;"
Find the cheapest product,SELECT * FROM products ORDER BY price ASC LIMIT 1;
Get the most recent order,SELECT * FROM orders ORDER BY order_date DESC LIMIT 1;
Count how many users signed up this year,SELECT COUNT(*) FROM users WHERE YEAR(signup_date) = YEAR(CURRENT_DATE);
List users who have made at least 3 orders,SELECT user_id FROM orders GROUP BY user_id HAVING COUNT(*) >= 3;
Show product with the highest stock,SELECT * FROM products ORDER BY stock DESC LIMIT 1;
Get average price of all products,SELECT AVG(price) FROM products;
Show total number of orders,SELECT COUNT(*) FROM orders;
List all orders placed in June 2024,SELECT * FROM orders WHERE MONTH(order_date) = 6 AND YEAR(order_date) = 2024;
Find users who placed orders over 5000,SELECT user_id FROM orders WHERE amount > 5000;
Show products that are exactly out of stock,SELECT * FROM products WHERE stock = 0;
Get users and the number of their orders,"SELECT u.name, COUNT(o.order_id) FROM users u LEFT JOIN orders o ON u.id = o.user_id GROUP BY u.name;"
List the order count for each day,"SELECT order_date, COUNT(*) FROM orders GROUP BY order_date;"
Find the name and price of the cheapest product,"SELECT name, price FROM products ORDER BY price ASC LIMIT 1;"
List all users along with their signup date,"SELECT name, signup_date FROM users;"
List all users who signed up after January 2023,SELECT * FROM users WHERE signup_date > '2023-01-01';
Show all orders placed by user ID 5,SELECT * FROM orders WHERE user_id = 5;
Find total revenue from orders placed in 2024,SELECT SUM(amount) FROM orders WHERE YEAR(order_date) = 2024;
List product names and their prices in ascending order,"SELECT name, price FROM products ORDER BY price ASC;"
Show products that are out of stock,SELECT * FROM products WHERE stock = 0;
Get users who have not placed any orders,SELECT * FROM users WHERE id NOT IN (SELECT user_id FROM orders);
Show number of products with stock above 50,SELECT COUNT(*) FROM products WHERE stock > 50;
List users whose name starts with 'A',SELECT * FROM users WHERE name LIKE 'A%';
Get all orders with amount more than 5000,SELECT * FROM orders WHERE amount > 5000;
Count how many products cost more than 300,SELECT COUNT(*) FROM products WHERE price > 300;
List all reviews with rating 5,SELECT * FROM reviews WHERE rating = 5;
Get average payment amount per user,"SELECT user_id, AVG(amount) FROM payments GROUP BY user_id;"
List payment methods used in 2024,SELECT DISTINCT method FROM payments WHERE YEAR(payment_date) = 2024;
Show top 10 products with highest stock,SELECT * FROM products ORDER BY stock DESC LIMIT 10;
Get users who made payments via PayPal,SELECT * FROM payments WHERE method = 'PayPal';
Show names and emails of all users,"SELECT name, email FROM users;"
Find most expensive product in each category,"SELECT category_id, MAX(price) FROM products GROUP BY category_id;"
List all products in 'Electronics' category,SELECT * FROM products WHERE category_id = (SELECT category_id FROM categories WHERE name = 'Electronics');
Show number of orders per user,"SELECT user_id, COUNT(*) FROM orders GROUP BY user_id;"
Find total revenue per category,"SELECT category_id, SUM(amount) FROM orders JOIN products ON orders.product_id = products.product_id GROUP BY category_id;"
Get review count for each product,"SELECT product_id, COUNT(*) FROM reviews GROUP BY product_id;"
List users who reviewed more than 3 products,SELECT user_id FROM reviews GROUP BY user_id HAVING COUNT(*) > 3;
Show failed payments,SELECT * FROM payments WHERE status = 'failed';
List all categories and number of products in each,"SELECT category_id, COUNT(*) FROM products GROUP BY category_id;"
Show users who made a payment over 1000,SELECT DISTINCT user_id FROM payments WHERE amount > 1000;
Get last 5 orders placed,SELECT * FROM orders ORDER BY order_date DESC LIMIT 5;
Find all orders made on weekends,"SELECT * FROM orders WHERE WEEKDAY(order_date) IN (5, 6);"
List payments made using credit card,SELECT * FROM payments WHERE method = 'Credit Card';
Show reviews containing the word 'excellent',SELECT * FROM reviews WHERE review_text LIKE '%excellent%';
Get count of unique payment methods,SELECT COUNT(DISTINCT method) FROM payments;
List users who signed up in 2025,SELECT * FROM users WHERE YEAR(signup_date) = 2025;
Show orders above amount 2000,SELECT * FROM orders WHERE amount > 2000;
Find users who placed orders in March 2024,SELECT * FROM orders WHERE MONTH(order_date) = 3 AND YEAR(order_date) = 2024;
Get total stock of all products,SELECT SUM(stock) FROM products;
Show names of users who gave a 1-star review,SELECT u.name FROM users u JOIN reviews r ON u.id = r.user_id WHERE r.rating = 1;
List products in 'Fashion' category,SELECT * FROM products WHERE category_id = (SELECT id FROM categories WHERE name = 'Fashion');
Get users who made more than 2 payments,SELECT user_id FROM payments GROUP BY user_id HAVING COUNT(*) > 2;
Show all categories with more than 5 products,SELECT category_id FROM products GROUP BY category_id HAVING COUNT(*) > 5;
List products priced below 100,SELECT * FROM products WHERE price < 100;
Find all reviews that mention 'poor',SELECT * FROM reviews WHERE review_text LIKE '%poor%';
Show orders sorted by amount descending,SELECT * FROM orders ORDER BY amount DESC;
Get payment methods used by user ID 10,SELECT method FROM payments WHERE user_id = 10;
List all failed payments in 2025,SELECT * FROM payments WHERE status = 'failed' AND YEAR(payment_date) = 2025;
Show number of reviews per user,"SELECT user_id, COUNT(*) FROM reviews GROUP BY user_id;"
Get users who made payments through UPI,SELECT * FROM payments WHERE method = 'UPI';
List top 3 products by revenue,"SELECT product_id, SUM(amount) FROM orders GROUP BY product_id ORDER BY SUM(amount) DESC LIMIT 3;"
Show users who have reviewed 'Mobile Phones',SELECT DISTINCT u.id FROM users u JOIN reviews r ON u.id = r.user_id JOIN products p ON r.product_id = p.id WHERE p.category_id = (SELECT id FROM categories WHERE name = 'Mobile Phones');
Get the highest-rated product,SELECT * FROM products ORDER BY rating DESC LIMIT 1;
Find the total number of reviews in 2024,SELECT COUNT(*) FROM reviews WHERE YEAR(review_date) = 2024;
Show users with more than one order,SELECT user_id FROM orders GROUP BY user_id HAVING COUNT(*) > 1;
Get payments grouped by status,"SELECT status, COUNT(*) FROM payments GROUP BY status;"
List all categories sorted alphabetically,SELECT * FROM categories ORDER BY name ASC;
Find users who didn’t make any payment,SELECT * FROM users WHERE id NOT IN (SELECT user_id FROM payments);
Get products reviewed more than 10 times,SELECT product_id FROM reviews GROUP BY product_id HAVING COUNT(*) > 10;
Show average rating per category,"SELECT category_id, AVG(rating) FROM products p JOIN reviews r ON p.id = r.product_id GROUP BY category_id;"
List names of users and total they paid,"SELECT u.name, SUM(p.amount) FROM users u JOIN payments p ON u.id = p.user_id GROUP BY u.name;"
Show top 5 reviewers by count,"SELECT user_id, COUNT(*) FROM reviews GROUP BY user_id ORDER BY COUNT(*) DESC LIMIT 5;"
Get most ordered product,SELECT product_id FROM orders GROUP BY product_id ORDER BY COUNT(*) DESC LIMIT 1;
List reviews posted after June 2024,SELECT * FROM reviews WHERE review_date > '2024-06-30';
Show users who used more than one payment method,SELECT user_id FROM payments GROUP BY user_id HAVING COUNT(DISTINCT method) > 1;
